­ఊహించలేరు	ఊహ లేదు
చెల్లెలు	చెల్లెలు
చెల్లెళ్లు	చెల్లెలు
చెవిలో	చెవి
చెవులను	చెవి
చేకూర్చి	చేకూరు
చేతల	చేత
చేతికందగానే	చేతికందగానే
చేతిని	చేతి
చేతిలో	చేతి
చేతుల	చేతి
చేతులు	చేతి
చేతులూ	చేతి
చేతుల్తో	చేతి
చేతుల్నించి	చేతి నుంచి
చేతుల్లో	చేతి
చేత్తో	చేతి
చేద్దాం	చేయు
చేయండి	చేయు
చేయక	చేయు
చేయకూడదు	చేయు
చేయగలననే	చేయు కలుగు
చేయగల్గుతారు	చేయు కలుగు
చేయడమే	చేయు
చేయడానికి	చేయడం
చేయడానికి	చేయు
చేయద్దు	చేయు వద్దు
చేయబోవడం	చేయు
చేయసాగింది	చేయు సాగు
చేయాలని	చేయు
చేయాలి	చేయు
చేయాలో	చేయు
చేయి	చేయి
చేయిచాచి	చేయి చాచి
చేరతాం	చేరు
చేరాక	చేరు
చేశాడు	చేయు
చేసాడు	చేయు
చేసి	చేయు
చేసింది	చేయు
చేసిన	చేయు
చేసినప్పటికీ	చేయు అప్పుడు
చేసుకుంటారు	చేయు
చేసుకుని	చేయు
చేసుకున్న	చేయు
చేసుకోండి	చేయు
చేసుకోగల్గుతాడు	చేయు కలుగు
చేసే	చేయు
చేసేది	చేస
చేసేవాళ్లూ	చేయు వాళ్ళు
చేస్తాయని	చేయు అను
చేస్తాయి	చేయు
చేస్తారనే	చేస్తారు అను
చేస్తారు	చేయు
చేస్తుందంటారు	చేస్తుంది
చేస్తున్నట్లు	చేయు
చేస్తున్నాడు	చేయు
చేస్తున్నారు	చేయు
చేస్తూ	చేయు
చొరవ	చొరవ
చోటుండాలి	చోటు ఉండు
చోటుకి	చోటు
జంతువుల	జంతువు
జంతువులేవో	జంతువు
జంతువుల్లో	జంతువు
జగదీశ్	జగదీశ్
జగదీశ్‌చంద్ర	జగదీశ్‌చంద్ర
జట్టుగా	జట్టు
జత	జత
జనం	జనం
జనాన్ని	జనాభా
జన్మించాడు	జన్మ
జయప్రదంగా	జయప్రదం
జరగబోయే	జరగు
జరగలేదు	జరగు లేదు
జరగాల్సిన	జరగు
జరిగింది	జరగు
జరిగిన	జరగు
జరిగినపుడు	జరుగు
జరిగినవెన్నో	జరుగు
జరిగిపోతాయి	జరుగు
జరిగిపోతుంది	జరగు
జరిగేవి	జరగు
జరిపి	జరగు
జరిపే	జరుగు
జర్రున	జర్రున
జలగుండంలో	జల గుండం
జలపాతం	జలపాతం
జల్లు	జల్లు
జవాబు	జవాబు
జాగ్రత్త	జాగ్రత్త
జాగ్రత్తగా	జాగ్రత్త
జాగ్రత్తలు	జాగ్రత్త
జాగ్రత్తలే	జాగ్రత్త
జాడించి	జాడించు
జాతీయ	జాతీయ
జాబితా	జాబితా
జారిపోవడమే	జారిపడు
జీవ	జీవము
జీవికి	జీవి
జీవితం	జీవితం
జీవితంలో	జీవితం
జీవితాంతం	జీవితం అంతం
జీవితాలు	జీవిత
జీవితాల్లో	జీవితం
జోరు	జోరు
జ్ఞానం	జ్ఞానం
టి	టి
టీ	టీ
టీచర్	టీచరు
టీనేజీ	టీనేజీ
టీవీలో	టీవీ
టూర్లకి	టూర్
టూర్‌కి	టూర్‌
డబ్బు	డబ్బు
డాక్టర్	డాక్టర్
డూస్‌	డూస్‌
డోంట్‌	డోంట్‌
డోన్ట్స్‌	డోన్ట్స్‌
డోర్	డోర్
తండ్రి	తండ్రి
తండ్రిని	తండ్రి
తక్కువగా	తక్కువ
తగదు	తగదు
తగిన	తగిన
తగిలి	తగులు
తగిలింది	తగులు
తగిలిన	తగులు
తగ్గుముఖం	తగ్గు ముఖం
తట్టాడు	తట్టు
తట్టి	తట్టు
తట్టుకునేలా	తట్టు
తన	తన
తనని	తన
తనను	తన
తను	తను
తన్నబోతుంటే	తన్ను పోవు
తన్నసాగింది	తన్ను సాగు
తపిస్తుంటారు	తపించు
తప్ప	తప్ప
తప్పటం	తప్ప
తప్పదని	తప్పదు అను
తప్పనిసరిగా	తప్ప సరి
తప్పారో	తప్ప
తప్పించుకోవడం	తప్పు
తప్పిస్తాయి	తప్పు
తప్పు	తప్పు
తప్పుడు	తప్పు
తప్పుపట్టే	తప్పు
తప్పుల	తప్పు
తప్పెవరిది	తప్పు ఎవరు
తమ	తమ
తమలోని	తమ
తమాయించుకుంటూ	తమాయించు
తయారు	తయారు
తయారుచేయాల్సింది	తయారు చేయు
తయారుచేసి	తయారు చేయు
తయారుచేసింది	తయారు చేయు
తయారుచేసుకున్న	తయారు చేసుకొను
తరచు	తరచు
తరవాత	తరవాత
తరహా	తరహా
తరాలకు	తరం
తరువాత	తరవాత
తర్వాత	తర్వాత
తల	తల
తలకి	తల
తలనొప్పిగా	తల నొప్పి
తలమీంచి	తల మీద నుంచి
తలూపాడు	తల ఊపు
తల్లిదండ్రుల	తల్లితండ్రి
తల్లీ	తల్లి
తాగి	తాగు
తాగుదాం	తాగు
తాత్కాలిక	తాత్కాలిక
తాను	తాను
తాము	తాము
తామెంత	తాము ఎంత
తారురోడ్డు	తారు రోడ్డు
తిడుతూ	తిట్టు
తిప్పాడతను	తిప్పు
తిప్పాడు	తిప్పు
తిప్పి	తిప్పు
తిరగలేదు	తిరుగు
తిరిగి	తిరుగు
తీయి	తీయు
తీసి	తీయు
తీసినా	తీయు
తీసుకుంటారు	తీసుకొను
తీసుకుని	తీసుకొను
తీసుకురమ్మన్నారు	తీసుకొను
తీసుకురా	తీసుకు
తీసుకెళ్లారుట	తీసుకు వెళ్ళు
తీసుకెళ్లింది	తీసుకు వెళ్ళు
తీసుకెళ్లిపోతున్నాడు	తీసుకు వెళ్ళు
తీసుకెళ్లేదాన్ని	తీసుకు వెళ్ళు
తీసుకొచ్చాను	తీసుకు వచ్చు
తీసుకోవడాకి	తీసుకోను
తీసుకోవాలి	తీసుకు
తీసుకోవాల్సిన	తీసుకు
తీసే	తీయు
తీస్కెళ్లాలి	తీసుకు వెళ్లు
తీస్తారు	తీయు
తుడుచుకుంటూ	తుడుచు
తూనికలు	తూనిక
తెగింపు	తెగించు
తెచ్చాడు	తెచ్చు
తెచ్చుకుంటారు	తెచ్చు
తెచ్చుకుంటూ	తెచ్చు
తెచ్చుకునేలా	తెచ్చు
తెరిచాడు	తెరుచు
తెరిచి	తెరుచు
తెలిపారు	తెలుపు
తెలియక	తెలియు
తెలియజేశాడు	తెలియు చేయు
తెలియజేసినవాడు	తెలియు చేయు వాడు
తెలియదు	తెలియదు
తెలివి	తెలివి
తెలివికి	తెలివి
తెలివితేటలు	తెలివి
తెలివిని	తెలివి
తెలివిలో	తెలివి
తెలివైన	తెలివి
తెలివైనవాడిగా	తెలివి వాడు
తెలిసి	తెలియు
తెలిసిన	తెలియు
తెలిస్తే	తెలియు
తెలీదు	తెలియు
తెలుసు	తెలియు
తెలుసుకుంటుండాలి	తెలియు
తెలుసుకుని	తెలియు
తెలుసుకునేలోపే	తెలుసుకొను
తెలుసుకున్నామా	తెలుసుకొను
తెలుసుకొనడానికి	తెలియు
తెలుసుకోవడం	తెలియు
తెలుసుకోవడానికి	తెలియు
తెలుసుకోవాలనే	తెలుసుకోవాలి అను
తెలుసుకోవాలి	తెలుసు
తెలుస్తుంది	తెలియు
తెల్లవారితే	తెల్లవారు
తెల్లారిందాకా	తెల్లవారు
తెల్లారేసరికి	తెల్లవారు
తెల్వదా	తెలియు
తెల్సినా	తెలియు
తేడా	తేడా
తేడాగా	తేడా
తేల్చండి	తేలుచు
తొక్కాడు	తొక్కు
తొక్కుతున్నాయి	తొక్కు ఉండు
తొడ	తొడ
తొలగాడు	తొలగు
తోచిన	తోచిన
తోడయింది	తోడు
తోడు	తోడు
తోడుగా	తోడు
తోసేయడానికి	తీసి వేయు
తోసేస్తూ	తీసి వేయు
తోస్తూ	తీయు
త్వరగానే	త్వరగా
దగ్గర	దగ్గర
దగ్గరకు	దగ్గర
దగ్గరకొచ్చిందాకా	దగ్గర వచ్చు
దగ్గరికి	దగ్గర
దగ్గరుండి	దగ్గర
దగ్గర్నించి	దగ్గర నుంచి
దయ	దయ
దర్పణాలు	దర్పణం
దర్శించుకోలేదు	దర్శించు లేదు
దాంతో	దాంతో
దాంతో	దాని
దాటగానే	దాటు
దాటాలి	దాటు
దాటింది	దాటు
దాదాపు	దాదాపు
దానికి	దాని
దానికితోడు	దాని తోడు
దానిని	దానిన
దానిని	దాన్ని
దానివలన	దాని వలన
దాన్ని	దాన్ని
దాన్లో	దాన్లో
దారి	దారి
దారినే	దారి
దారుణంగా	దారుణం
దారుణాలు	దారుణము
దించుకున్నాడు	దించు
దిగజారిపోకుండా	దిగజారు పోవు
దిగరా	దిగు
దిగలేదు	దిగు లేదు
దిగారు	దిగు
దిగాలనే	దిగు
దిగి	దిగు
దిగితే	దిగు
దిగుతోంటే	దిగు
దిగులుగా	దిగులు
దిగేయడం	దిగు
దిగొద్దు	దిగు వద్దు
దీంతో	దీంతో
దీనికేం	దీని ఏమి
దీన్ని	దీన్ని
దీన్నే	దీన్ని
దీన్నే	దీన్నే
దుందుడుకు	దుందుడుకు
దుందుడుకుతనం	దుందుడుకు
దుబారా	దుబారా
దుర్గమ్మని	దుర్గ
దుర్ఘటన	దుర్ఘటన
దుర్మార్గులు	దుర్మార్గం
దూరం	దూరం
దూరంగా	దూరము
దూసుకెళ్లమంది	దూసుకెళ్ళు
దృష్టిలో	దృష్టి
దెబ్బకి	దెబ్బ
దెబ్బతిన్నదాన్ని	దెబ్బ తిను
దెబ్బతీస్తుంది	దెబ్బ తీయు
దేవుడి	దేవుడు
దేవుడు	దేవుడు
దేశానికి	దేశం
దొరికిన	దొరకు
దొరుకుతుందేమో	దొరుకు
ద్వారా	ద్వారా
ధనం	ధనం
ధర్మం	ధర్మం
ధర్మశీలుడి	ధర్మము శీలము
ధర్మశీలుడిని	ధర్మము శీలము
ధర్మశీలుడు	ధర్మము శీలము
ధార -ధార
ధారపోస్తున్నామని	ధారపోయు
ధారాపురంలో	ధారాపురం
ధీమా	ధీమా
ధైర్యం	ధైర్యం
ధైర్యంగా	ధైర్యం
ధోరణితో	ధోరణి
నచ్చని	నచ్చు
నచ్చలేదు	నచ్చు లేదు
నచ్చితే	నచ్చు
నడిపిస్తున్నాడు	నడుపు ఉండు
నడుం	నడుం
నది	నది
నదిలో	నది
నన్ను	నన్ను
నన్నెవరేం	నన్ను ఎవరు
నమ్మకం	నమ్మకం
నమ్మరు	నమ్ము
నమ్ముతారు	నమ్ము
నయం	నయం
నరకం	నరకం
నలిగిపోతూ	నలుగు
నలుగురు	నలుగురు
నవ్వి	నవ్వు
నష్టం	నష్టం
నా	నా
నాకు	నా
నాకు	నాకు
నాకూ	నాకు
నాకెవ్వరూ	నాకు ఎవరు
నాకేం	నాకు
నాకేంటో	నాకు ఏమిటి
నాన్న	నాన్న
నాన్నలా	నాన్న
నాయకత్వ	నాయకత్వ
నాయకుడి	నాయకుడు
నాయకుడికి	నాయకుడు
నాయకుడికీ	నాయకుడు
నాయకుడు	నాయకుడు
నారంశెట్టి	నారంశెట్టి
నాలుగడుగులు	నాలుగు అడుగు
నాలుగు	నాలుగు
నాలుగుమంది	నాలుగు మంది
నాశనం	నాశనం
నించి	నించి
నిండా	నిండ
నిండిపోయింది	నిండ పోవు
నిందించాల్సిన	నిందించు
నిక్కుతూ	నిక్కుడు
నిజమే	నిజము
నిటారుగా	నిటారు
నిట్టూరుస్తూ	నిట్టూరుచు
నిత్యం	నిత్యం
నిద్ర	నిద్ర
నిద్రలో	నిద్ర
నిద్రేంట	నిద్ర
నిద్రొస్తోంది	నిద్ర
నిన్నమొన్నటి	నిన్న మొన్న
నిన్నా	నిన్న
నిన్ను	నిన్ను
నిపుణులను	నిపుణ
నిపుణులు	నిపుణ
నిబంధనల్ని	నిబంధన
నిమిషాల	నిమిషం
నియమాలతో	నియమం
నియమాలని	నియమం
నియమించబడ్డాడు	నియమించు
నిరంతరం	నిరంతరము
నిరాశ	నిరాశ
నిరాశా	నిరాశ
నిరుపయోగమవుతుందని	నిరుపయోగము అవు
నిరూపించాడు	నిరూపించి
నిరూపించుకో	నిరూపించు
నిర్జీవ	నిర్జీవము
నిర్ణయాన్నీ	నిర్ణయం
నిర్దేశించే	నిర్దేశించు
నిర్మాణం	నిర్మాణము
నిర్మించుకోగలిగిన	నిర్మించు
నిర్లక్ష్యం	నిర్లక్ష్యం
నిర్లిప్తత	నిర్లిప్తత
నిలదొక్కుకుంటూ	నిలదొక్కు
నిలబడింది	నిలబడు
నిలబడిన	నిలబడు
నిలవలేక	నిలవ
నిలవాల్సినవాళ్లు	నిలవాల్సిన వాళ్లు
నివసించే	నివసించు
నిస్పృహ	నిస్పృహ
నిస్పృహలను	నిస్పృహ
నీ	నీ
నీకు	నీకు
నీతోని	నీ
నీలుగుతూ	నీలుగు
నీళ్లు	నీళ్లు
నుంచి	నుంచి
నుంచీ	నుంచి
నుంచే	నుంచి
నుండి	నుంచి
నుండి	నుండి
నునుపైన	నునుపు
నువ్వు	నువ్వు
నువ్వేడిస్తే	నువ్వు ఏడిస్తే
నువ్వొక్కదానివే	నువ్వు ఒక
నూరేళ్ల	నూరు ఏళ్ళు
నెట్టాడు	నెట్టు
నెడుతుంటారు	నెట్టు
నెత్తి	నెత్తి
నెమ్మదిగా	నెమ్మది
నేను	నేను
నేనూ	నేను
నేర	నేర
నేర్చుకుంటున్నట్లు	నేర్చు
నేర్చుకుంటూ	నేర్చు
నేర్చుకుంటోందని	నేర్చు ఉండు
నేర్చుకుని	నేర్చు
నేర్పాలి	నేర్పు
నేల	నేల
నైపుణ్యంగా	నైపుణ్యం
నోర్మూసుకో	నోరు మూసుకో
పండుగ	పండుగ
పంతానికి	పంతం
పక్కకి	పక్క
పక్కతను	పక్క అతను
పక్కన	పక్క
పక్కనే	పక్క
పక్కపక్క	పక్క
పక్కలా	పక్క
పక్కవారికి	పక్క వారు
పగిలి	పగులు
పచ్చడి	పచ్చడి
పట్టడం	పట్టడం
పట్టా	పట్టా
పట్టాలనే	పట్టు
పట్టించుకోలేదు	పట్టించు లేదు
పట్టింది	పట్టి
పట్టుకుని	పట్టు
పట్టుకున్న	పట్టు
పట్టుకున్నాడతను	పట్టు అతను
పట్టుకోండిరా	పట్టు
పట్టుకోవడానికి	పట్టు
పట్టుదల	పట్టుదల
పడగ	పడగ
పడటం	పడు
పడబోతున్నాం	పడు
పడాలని	పడాలి
పడి	పడి
పడిన	పడి
పడిపోయింది	పడి
పడిపోయిన	పడి
పడిపోవడం	పడిపోవు
పడుకుంటున్నా	పడు
పడుకో	పడుకోవటం
పడుతుంటారు	పడు
పడుతోంది	పడు
పడ్డాడు	పడ్డ
పడ్డాయి	పడ్డ
పడ్డారు	పడ్డ
పతాక	పతాక
పత్రికల	పత్రిక
పద	పద
పదకొండు	పదకొండు
పదకొండున్నర	పదకొండు అర
పదార్థాలకు	పదార్థము
పది	పది
పదిమంది	పది మంది
పని	పని
పనికి	పని
పనికిరాదనే	పనికి రాదు అను
పనిగా	పని
పనిచేసే	పని చేయు
పనిచేసేవారికి	పని చేయు వారు
పనినయినా	పని అవ్వు
పనిని	పని
పనిలేదు	పని లేదు
పనీ	పని
పనులు	పని
పయనించే	పయనము
పరచుకోవాలి	పరచు
పరవళ్లు	పరవళ్లు
పరాజితులకు	పరాజితుండు
పరాజితులు	పరాజితుండు
పరిగెత్తినా	పరిగెత్తు
పరిగెత్తుకుంటూ	పరిగెత్తు
పరిగెత్తుకుని	పరిగెత్తు
పరిశీలిస్తున్నారు	పరిశీలన
పరిశోధనలు	పరిశోధన
పరిశోధనల్లో	పరిశోధన
పరిష్కారం	పరిష్కారం
పరిసరాల	పరిసరాలు
పరిసరాలను	పరిసర
పరిస్థితి	పరిస్థితి
పరిస్థితినైనా	పరిస్థితి అయి
పరిస్థితులూ	పరిస్థితి
పరీక్ష	పరీక్ష
పరుగులు	పరుగు
పరుగులెత్తిస్తుంటే	పరుగు
పరుగెత్తి	పరుగెత్తి
పాటించవచ్చో	పాటించు వచ్చు
పాటిస్తూ	పాటించు
పాటుపడితే	పాటుపడు
పాఠాలను	పాఠము
పాఠాలు	పాఠం
పాఠాలు	పాఠము
పాడై	పాడు
పాతికేళ్లొచ్చాయి	పాతిక ఏళ్ళు వచ్చు
పాదాలతో	పాదం
పాపీ	పాపీ
పారేశారా	పారవేయు
పార్టీలకెళ్లడం	పార్టీ వెళ్ళ
పాలవుతారు	పాలు
పాల్గొనాలని	పాల్గొను
పాల్గొని	పాల్గొను
పాళ్లు	పాళ్లు
పిచ్చిదానా	పిచ్చి
పిచ్చోళ్లం	పిచ్చి వాళ్ళు
పిడికిళ్లు	పిడికిలి
పిడిగుద్దులు	పిడిగుద్దులు
పిరికితనం	పిరికి
పిల్చాడు	పిలుచు
పిల్లల	పిల్ల
పిల్లలకివ్వాలి	పిల్ల ఇవ్వు
పిల్లలకు	పిల్ల
పుట్టాను	పుట్ట
పుట్టినందుకు	పుట్టు అందుకు
పునర్నిర్మించడం	పునర్నిర్మాణం
పునాది	పునాది
పునాదులు	పునాది
పుష్కలంగా	పుష్కలము
పుస్తకాలు	పుస్తకం
పూర్తి	పూర్తి
పూర్తిగా	పూర్తి
పెంకులు	పెంకు
పెంచాడు	పెంచు
పెంచుకున్నాడు	పెంచు
పెంచుకోవడంతోపాటు	పెంచు పోవు
పెట్టాలనే	పెట్టు అను
పెట్టి	పెట్టు
పెట్టించాలనే	పెట్టు అను
పెట్టుకునే	పెట్టు అను
పెడితే	పెట్టు
పెడుతుంటే	పెట్టు
పెదనాన్న	పెద నాన్న
పెదాలకి	పెదం
పెద్ద	పెద్ద
పెద్దగా	పెద్ద
పెద్దపెద్ద	పెద్ద
పెద్దల	పెద్ద
పెరగాలంటే	పెరుగు అంటే
పెరిగాను	పెరుగు
పెరిగిన	పెరుగు
పెరిగినవాళ్లూ	పెరిగిన వాళ్ళు
పెరుగుదలను	పెరుగు
పెళ్లి	పెళ్లి
పెళ్లికి	పెళ్లి
పేరు	పేరు
పైకి	పై
పైగా	పై
పైనే	పైన
పైవన్నీ	పైన అన్ని
పొంచి	పొంచి
పొందగలగాలి	పొందు కలుగు
పొందిన	పొందు
పొందుతుండేవారు	పొందు ఉండు
పొట్టలో	పొట్ట
పొడవున్నావు	పొడవు ఉండు
పొదల	పొద
పొదలతో	పొద
పొదలు	పొద
పొదల్లోకి	పొద
పొరపాటున	పొరపాటు
పొరపాట్లు	పొరపాటు
పొరుగువాడైన	పొరుగు వాడు
పోటీలో	పోటీ
పోటీల్లో	పోటీ
పోతుంది	పోయి
పోతున్నాడు	పోయి ఉండు
పోనిచ్చాడు	పోయి ఇచ్చు
పోనిచ్చి	పోయి
పోయి	పోయి
పోయింది	పోయిన
పోలికలను	పోలిక
పోలికలున్నాయని	పోలిక ఉండు
పోలిస్తే	పోలిక
పోలీసుల	పోలీసు
పోలీసులకి	పోలీసు
ప్రకటించారు	ప్రకటించు
ప్రకారం	ప్రకారం
ప్రకృతే	ప్రకృతి
ప్రజల	ప్రజ
ప్రజలకు	ప్రజ
ప్రజలు	ప్రజ
ప్రజాబలం	ప్రజ బలం
ప్రణాళికలు	ప్రణాళిక
ప్రతి	ప్రతి
ప్రతిఘటిస్తూనే	ప్రతిఘటించు
ప్రతిపాదించినవాడు	ప్రతిపాదించు
ప్రతిఫలంగా	ప్రతిఫలం
ప్రతిబింబం	ప్రతిబింబము
ప్రతిరూపంగానే	ప్రతిరూపం
ప్రతిస్పందనకు	ప్రతిస్పందన
ప్రతీ	ప్రతి
ప్రత్యక్షమవుతూ	ప్రత్యక్షము
ప్రదేశంలో	ప్రదేశం
ప్రదేశానికి	ప్రదేశం
ప్రపంచ	ప్రపంచము
ప్రపంచానికి	ప్రపంచము
ప్రభావంతో	ప్రభావం
ప్రమాదం	ప్రమాదం
ప్రమాదంగానే	ప్రమాదం
ప్రమాదంతో	ప్రమాదం
ప్రమాదాన్ని	ప్రమాదం
ప్రమాదాల	ప్రమాదం
ప్రమాదాలు	ప్రమాదం
ప్రమాదాలేంటో	ప్రమాదం ఏమిటి
ప్రమాదాల్ని	ప్రమాదం
ప్రమాదాల్లో	ప్రమాదం
ప్రమాదాల్లోకి	ప్రమాదం
ప్రముఖ	ప్రముఖ
ప్రముఖుడిగా	ప్రముఖుడు
ప్రయత్నం	ప్రయత్నం
ప్రయత్నంలో	ప్రయత్నం
ప్రయత్నాల్లో	ప్రయత్నం
ప్రయత్నిస్తున్నారు	ప్రయత్నం
ప్రయాణీకులంతా	ప్రయాణము
ప్రయాణీకులకి	ప్రయాణము
ప్రయాణీకులు	ప్రయాణము
ప్రయోగాలు	ప్రయోగం
ప్రయోజనం	ప్రయోజనం
ప్రయోజనాన్ని	ప్రయోజనం
ప్రవర్తన	ప్రవర్తన
ప్రవర్తిస్తూంటారు	ప్రవర్తన  ఉండు
ప్రశాంతంగా	ప్రశాంతం
ప్రశాంతతను	ప్రశాంతత
ప్రశ్న	ప్రశ్న
ప్రశ్నించడానికి	ప్రశ్న
ప్రసరణ	ప్రసరణ
ప్రస్తుత	ప్రస్తుతం
ప్రాంతం	ప్రాంతం
ప్రాణం	ప్రాణం
ప్రాణసంకటంగా	ప్రాణసంకటం
ప్రాణాలు	ప్రాణం
ప్రాణాల్నే	ప్ర్రాణం
ప్రాయంలో	ప్రాయము
ప్రెసిడెన్సీ	ప్రెసిడెన్సీ
ప్రేరేపించే	ప్రేరేపించు
ప్రేరేపిస్తాయ్‌	ప్రేరేపణ
ప్లీజ్	ప్లీజ్
ఫలితాలెప్పుడూ	ఫలితం ఎప్పుడు
ఫైట్	ఫైట్
ఫొటోలు	ఫొటో
ఫోన్	ఫోన్‌
ఫోర్స్‌ని	ఫోర్సు
ఫ్యాకల్టీ	ఫ్యాకల్టీ
బండి	బండి
బంధువన్న	బంధువు అను
బతకాలి	బతుకు
బతికాడో	బతుకు
బయటికి	బయట
బయలుదేరుదామనుకుంటే	బయలుదేరు
బయల్దేరింది	బయల్దేరింది
బలం	బలం
బలంగా	బలం
బలమంతా	బలం అంత
బలమే	బలం
బలవంతంగా	బలవంతం
బలహీనత	బలహీనత
బలి	బలి
బలిగొంది	బలి
బస్	బస్
బస్సు	బస్సు
బస్సుకి	బస్సు
బస్సుని	బస్సు
బస్సులో	బస్సు
బస్సులోంచి	బస్సు
బస్సెందుకు	బస్సు ఎందుకు
బస్‌కి	బస్సు
బహిర్గతమవుతాయి	బహిర్గతం అవ్వు
బహిర్గతమైనవి	బహిర్గతం అయి
బాగా	బాగా
బాగుంది	బాగుంది
బాగుచేయడం	బాగుచేయు
బాణాల	బాణం
బాధ	బాధ
బాధగా	బాధ
బాధలు	బాధ
బాధలుగా	బాధ
బాధాకరంగా	బాధ
బాధ్యత	బాధ్యత
బాధ్యులెవరు	బాధ్యులు ఎవరు
బానిస	బానిస
బారిన	బారి
బిగించి	బిగించు
బియాస్‌	బియాస్‌
బియాస్‌లో	బియాస్‌
బిరుదును	బిరుదు
బిలబిల్లాడుతూ	బిల
బిహేవియర్‌	బిహేవియర్‌
బుద్ధిగా	బుద్ధి
బుద్ధిబలం	బుద్ధి బలం
బుద్ధిబలంతో	బుద్ధి బలం
బురద	బురద
బురదలో	బురద
బుర్ర	బుర్ర
బూతులు	బూతు
బెంగాల్‌లో	బెంగాల్‌
బైక్‌	బైక్‌
బైటకి	బైట
బైటకు	బైట
బైటపడ్డాం	బైట పడు
బైటికి	బైట
బోరుకొట్టే	బోరు
బోర్లా	బోర్లా
బోలెడన్ని	బోలెడు
బోలెడు	బోలెడు
బోస్	బోస్
బ్రిడ్జి	బ్రిడ్జ్
భయం	భయం
భయంకరంగా	భయం
భయంగా	భయం
భయంతో	భయం
భయపడటం	భయం పడు
భవిష్యత్తు	భవిష్యత్తు
భవిష్యత్‌కు	భవిష్యత్‌
భాగమే	భాగము
భారతదేశానికి	భారతదేశం
భారతీయ	భారత
భావాలను	భావం
భావించక	భావన
భావించలేము	భావన
భావిస్తారు	భావన
భేదాలను	భేదము
భోజనాలు	భోజనం
భౌతిక	భౌతిక
మంచి	మంచి
మంచికి	మంచి
మంచివారికి	మంచి వారు
మంచివారు	మంచివారు
మంచివారో	మంచి వారు
మంచివాళ్లెవరో	మంచి వారు
మంచో	మంచి
మంట	మంట
మగవాళ్లు	మగ వారు
మగవాళ్లే	మగ వారు
మత్తు	మత్తు
మధ్య	మధ్య
మధ్యగల	మధ్య కల
మధ్యలో	మధ్య
మధ్యలోకెళ్లారు	మధ్య వెళ్లు
మన	మన
మనం	మనం
మనకి	మన
మనకు	మన
మనపైనే	మన పై
మనమంతా	మన అంత
మనమెవరో	మన ఎవరు
మనమేం	మన ఏమి
మనసుకు	మనసు
మనసుతో	మనసు
మనసును	మనసు
మనసులో	మనసు
మనస్తత్వమే	మనస్తత్వం
మనస్తత్వానికి	మనస్తత్వం
మనింట్లోని	మన ఇల్లు
మనిషి	మనిషి
మనిషికి	మనిషి
మనిషిగా	మనిషి
మనిషో	మనిషి
మనుషులం	మనిషి
మనుషులమై	మనిషి అయి
మనుషుల్లా	మనిషి
మనుషుల్లో	మనిషి
మమ్మల్ని	మీరు
మరచిపోకూడదు	మరచి
మరణించాడు	మరణించు
మరవొద్దు	మరపు వద్దు
మరి	మరి
మరికాస్త	మరి కాస్త
మరీ	మరీ
మరెన్నో	మరి ఎన్ని
మరొకతను	మరి ఒక అతను
మరొకరికి	మరి ఒక
మరొకరు	మరి ఒక
మరో	మరో
మరోచేత్తో	మరో చేయి
మరోరోజు	మరో రోజు
మరోలా	మరి ఒక
మలచుకోగలగాలి	మలచు
మలచుకోవడం	మలచు
మళ్లించడమే	మళ్లింపు
మళ్లించాలి	మళ్లింపు
మళ్లీ	మళ్లీ
మహా	మహా తల్లి
మహాతల్లికి	మహా తల్లి
మా	మా
మాకు	మాకు
మాట	మాట
మాటలకి	మాట
మాటలు	మాట
మాటల్నిబట్టి	మాట బట్టి
మాట్లాడకు	మాట్లాడుట
మాట్లాడకోయ్	మాట్లాడుట
మాట్లాడలేదు	మాట్లాడుట
మాట్లాడి	మాట్లాడుట
మాట్లాడుతున్న	మాట్లాడుట
మాట్లాడుతున్నట్టు	మాట్లాడుట
మాట్లాడుతున్నాడు	మాట్లాడుట
మాట్లాడుతున్నారు	మాట్లాడుట
మాట్లాడేస్తున్నారు	మాట్లాడుట
మాత్రం	మాత్రం
మాత్రమే	మాత్రము
మాదిరిగా	మాదిరి
మానసిక	మానసిక
మానిక్‌	మానిక్‌
మామూలు	మామూలు
మాయమవుతుంది	మాయము అవ్వు
మారబోతోంది	మారు
మారిందేంటీ	మారు ఏమిటి
మారిపోతూ	మారు
మారిపోయింది	మారు పోవు
మారొద్దనే	మారొద్దు
మార్గంలోకి	మార్గం
మార్గదర్శకత్వంగా	మార్గదర్శి
మార్చారు	మార్చు
మార్చుకుని	మార్చు
మార్చుకున్నాడు	మార్చు ఉండు
మార్చుకోవాలి	మార్చు
మార్చేసావు	మార్చు
మాలో	మా
మించినవాడు	మించు
మిగతా	మిగత
మిగతావాళ్లతో	మిగత వాళ్ళు
మిగిలింది	మిగులు
మీ	మీ
మీంచి	మీద నుంచి
మీకూ	మీ
మీద	మీద
మీదకి	మీద
మీదకు	మీద
మీదా	మీద
మీదికి	మీద
మీరిద్దరూ	మీరు ఇద్దరు
మీరు	మీరు
ముంగిట	ముంగిట
ముందడుగు	ముందు అడుగు
ముందు	ముందు
ముందుకు	ముందు
ముందుకుపోడం	ముందు పోవు
ముందుకేశారు	ముందు వేయు
ముందూ	ముందు
ముందే	ముందు
ముఖ్యంగా	ముఖ్యం
ముగ్గురు	ముగ్గురు
